Feature ID	Feature/Task	Category	Priority	Status	Start Date	End Date	Dependencies	Notes / Observations	Requirements / Subtasks
F001	Project setup (folder structure, git, venv, DB init)	MVP Infrastructure	High					Foundational setup before any feature; create backend/frontend folders, initialize Git, setup Python virtual environment, install dependencies, create SQLite DB and basic tables, setup config/env files, ready for coding	Create folders: backend/, frontend/, database/, docs/; init git; setup virtualenv; install Flask, SQLAlchemy, React; create SQLite DB; add config files (.env, config.py)
F002	Tenant payment record (manual entry fallback)	Rent Collection	High	Not started				Core for MVP	Allow manual entry of cash/M-PESA payments; input tenant, unit, date, amount
F003	Auto-match M-PESA payments	Rent Collection	High	Not started			F001	Requires Daraja API integration	Fetch M-PESA C2B or STK transactions; parse SMS or API JSON; match payment to tenant account automatically
F004	Generate digital receipt (SMS/email)	Rent Collection	High	Not started			F001,F002	Immediate confirmation to tenants	Generate PDF or SMS message with payment details; include tenant name, unit, amount, date
F005	Dashboard showing paid, due, late rents	Rent Collection	High	Not started			F001,F002	Main landlord view	Show all tenants, rent due, amount paid, late status; color-coded alerts for overdue payments
F006	Tenant database (name, unit, lease dates, deposit)	Tenant Management	High	Not started				Core for tenant tracking	Store tenant info including name, phone, unit, lease start/end, deposit; enable CRUD operations
F007	Lease tracking (expiry, renewal reminders)	Tenant Management	Medium	Not started			F005	Automate notifications later	Monitor lease end dates; generate alerts/reminders for upcoming renewals
F008	Rent due reminders to tenants (SMS/WhatsApp)	Alerts / Notifications	Medium	Not started			F001,F002	Integrate Africa's Talking or Daraja SMS	Send automated messages to tenants before rent due; configurable days in advance; logs sent notifications
F009	Alert caretaker/landlord when payment logged	Alerts / Notifications	Medium	Not started			F001	Supports transparency	Notify landlord/caretaker via SMS or dashboard update when payment is recorded; log timestamp and source
F010	Simple UI for logging cash payments	Caretaker Interface	Medium	Not started				Easy for low-tech caretakers	Minimal input fields: tenant selection, amount, date; big buttons and clear labels; responsive on Android phones
F011	Audit trail of payments (who collected, when, amount)	Caretaker Interface	High	Not started			F009	Prevents disputes	Record each payment action with timestamp, user (caretaker), tenant, amount, and type (cash/M-PESA); allow export for landlord
F012	Flask backend setup + SQLite DB	MVP Infrastructure	High	Not started				Foundation of app	Setup Flask project; configure SQLite database; create models for tenants, payments, leases
F013	React frontend setup + components	MVP Infrastructure	High	Not started				User interface for landlords	Setup React app; create components for dashboard, tenant list, payment form, notifications
F014	M-PESA sandbox integration	MVP Infrastructure	High	Not started			F011	Needed to test payments	Register on Safaricom Daraja sandbox; implement C2B API calls; handle STK Push and callbacks; test matching transactions
F015	Deployment environment ready (Linux VPS)	MVP Infrastructure	High	Not started			F011,F012	Ready for pilot	Configure VPS with Ubuntu; install Python, Node, Nginx; deploy Flask + React; setup SSL; ensure firewall and security basics
F016	Basic authentication & security	MVP Infrastructure	High	Not started				Protect landlord/tenant data	Implement login/logout; password hashing; session management; role-based access if needed
F017	Pilot with 1 building	Testing / Feedback	High	Not started			F001-F014	Collect real-world usage	Populate tenant data; run live payments; monitor dashboard; record any usability issues
F018	Collect landlord/caretaker feedback	Testing / Feedback	High	Not started			F016	Use to improve MVP	Survey pilot users; note pain points and suggestions; prioritize fixes
F019	Iterate/fix critical bugs	Testing / Feedback	High	Not started			F017	Ensure smooth functionality	Resolve frontend/backend bugs; fix M-PESA matching issues; ensure receipts and alerts work correctly
